DIA,CANTIDAD
1,1
2,0
3,6
4,0
5,1
6,3
7,4
8,5
9,1
10,3
11,3
12,4
13,0
14,6
15,3
16,3
17,3
18,6
19,2
20,6
21,9
22,2
23,10
24,5
25,7
26,40
27,10
28,6
29,19
30,9
31,4
32,8
33,74
34,19
35,7
36,3
37,18
38,13
39,66
40,41
41,43
42,12
43,67
44,17
45,26
46,21
47,34
48,31
49,34
50,6
51,10
52,38
53,20
54,42
55,57
56,28
57,143
58,49
59,64
60,79
61,139
62,175
63,158
64,106
65,88
66,155
67,246
68,211
69,299
70,426
71,269
72,339
73,302
74,259
75,306
76,269
77,211
78,299
79,198
80,280
81,179
82,265
83,411
84,397
85,286
86,318
87,343
88,364
89,431
90,218
91,414
92,96
93,303
94,555
95,718
96,551
97,814
98,486
99,256
100,418
101,780
102,778
103,351
104,1037
105,671
106,572
107,466
108,734
109,984
110,1138
111,1299
112,1330
113,790
114,700
115,901
116,674
117,1236
118,1003
119,1008
120,806
121,408
122,1220
123,1261
124,939
125,1021
126,1191
127,666
128,340
129,1296
130,1131
131,1073
132,1019
133,1272
134,638
135,261
136,1209
137,1179
138,1271
139,1000
140,1163
141,358
142,227
143,788
144,1143
145,824
146,943
147,903
148,420
149,389
150,996
151,1151
152,1233
153,1144
154,903
155,337
156,310
157,909
158,1043
159,1124
160,1052
161,943
162,331
163,342
164,1152
165,1082
166,1141
167,1065
168,749
169,227
170,166
171,813
172,724
173,681
174,670
175,441
176,189
177,146
178,821
179,893
180,680
181,694
182,625
183,253
184,256
185,455
186,243
187,731
188,724
189,742
190,289
191,222
192,896
193,752
194,449
195,872
196,796
197,395
198,162
199,697
200,790
201,684
202,660
203,618
204,212
205,209
206,678
207,793
208,730
209,426
210,583
211,167
212,106
213,521
214,708
215,653
216,634
217,571
218,353
219,233
220,594
221,157
222,771
223,729
224,701
225,156
226,104
227,665
228,702
229,552
230,553
231,619
232,162
233,38
234,237
235,634
236,653
237,634
238,530
239,215
240,82
241,765
242,662
243,704
244,564
245,549
246,160
247,126
248,688
249,600
250,639
251,692
252,635
253,191
254,86
255,589
256,600
257,664
258,410
259,642
260,161
261,91
262,715
263,708
264,602
265,735
266,547
267,180
268,125
269,785
270,671
271,661
272,732
273,562
274,176
275,122
276,654
277,722
278,608
279,628
280,526
281,168
282,104
283,750
284,676
285,633
286,176
287,82
288,161
289,116
290,798
291,812
292,855
293,207